year	plant	Electricity	SO2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
85	269400	1100419.07453425	14426.1905753425	4727.87161643836	87622615467.991	20115	3248554.58344657	8551.05620212603	2609.24488767123	0
86	269400	1094239.34788219	14200.2380821918	4704.08293150685	89041243448.9747	20135	3251750.48800548	7377.94127406575	3075.52603561644	0
87	269400	1087407.91591233	13935.4451780822	4597.89619178082	89848690987.2882	20146	3208027.83315616	7417.51483487671	3762.54040547945	0
88	269400	1115921.37190137	14047.0837534247	4769.21082191781	90191371429.9536	19893	3299514.10518904	7414.36966188493	3181.15213972603	0
89	269400	1155364.23106849	15019.2670410959	4982.99556164384	91828422508.9845	19777	3415730.73677808	7332.63863835616	3824.76630136986	0
90	269400	1150050.70745205	14880.5189863014	4837.72230136986	92488535663.9508	19432	3386023.59029041	6918.54879470137	5070.78665753425	92
91	269400	1116239.65780822	14454.004	4649.42876712329	95039735301.6818	19247	3303703.50446027	7682.22038225753	5466.01764657534	92
92	269400	1140159.11950685	14550.7870684932	4636.81484931507	96076620640.8797	18670	3341729.7128274	6365.67086768219	5301.42627945205	92
93	269400	1158483.96025205	13908.9281917808	4642.26852054795	96987659144.9635	18513	3396384.62718356	7113.43592250411	5394.7183260274	92
94	269400	1135351.14168219	13402.3907945205	4330.12964383562	98660877925.5968	17876	3335496.3522411	7966.74618335342	5661.50386575342	92
95	269400	1181261.05623288	10270.0198630137	4409.45131506849	99647046121.0956	17040	3430853.72033973	6689.12358170959	5592.5208109589	92
